Series,Part Number,Name,USD Catalogue,USD Price,CAD Catalogue,CAD Price,Categories,Arm Type,Base Type,Back Material,Back Height,Tilter Prop,Images
Supra,5330-2,High Back Knee-Tilter,GUS,956,GLS,886,Task Seating,With Arms,,    ,High Back,Knee-Tilter,TRUE
Supra,5330-4,High Back Tilter,GUS,725,GLS,649,Task Seating,With Arms,,    ,High Back,Tilter,TRUE
Supra,5331-2,Medium Back Knee Tilter,GUS,906,GLS,845,Task Seating,With Arms,,    ,Medium Back,Tilter,TRUE
Supra,5331-4,Medium Back Tilter,GUS,678,GLS,609,Task Seating,With Arms,,    ,Medium Back,Tilter,TRUE
Supra,5332,Armchair ,GUS,565,GLS,495,Side Chair,With Arms,,    ,    ,    ,TRUE
Supra,5332C,"Armchair, Casters",GUS,744,GLS,588,Side Chair,With Arms,,    ,    ,    ,TRUE
Supra,5335,Cantilever Armchair,GUS,678,GLS,609,Side Chair,With Arms,,    ,    ,    ,TRUE
Traditional,3720,Queen Anne Style High Back Tilter ,,,GLS,1581,Task Seating,With Arms,,    ,High Back,Tilter,TRUE
Traditional,3722,Banker's Style Armchair ,GUS,1650,GLS,817,Side Chair,With Arms,,    ,    ,    ,TRUE
Traditional,3742,Martha Washington Style Low Back Armchair ,GUS,829,GLS,1110,Side Chair,With Arms,,    ,Low Back,    ,TRUE
Noetic,6070,Mesh Back Multi-Tilter,GUS,1248,GLS,1144,Task Seating,With Arms,,Mesh Back,    ,Multi-Tilter,TRUE
Noetic,6070NA,Armless Mesh Back Multi-Tilter,GUS,945,GLS,973,Task Seating,Armless,,Mesh Back,    ,Multi-Tilter,TRUE
Noetic,6071,Upholstered Back Multi-Tilter,GUS,817,GLS,1359,Task Seating,With Arms,,Upholstered Back,    ,Multi-Tilter,TRUE
Noetic,6071NA,Armless Upholstered Back Multi-Tilter ,GUS,1132,GLS,1189,Task Seating,Armless,,Upholstered Back,    ,Multi-Tilter,TRUE
Noetic,6072,Mesh Back Task Basic Swivel,GUS,997,GLS,1025,Task Seating,With Arms,Swivel Base,Mesh Back,    ,    ,TRUE
Noetic,6072NA,Armless Mesh Back Task Basic Swivel,GUS,861,GLS,855,Task Seating,Armless,Swivel Base,Mesh Back,    ,    ,TRUE
Noetic,6073,Upholstered Back Task Basic Swivel ,GUS,741,GLS,1240,Task Seating,With Arms,Swivel Base,Upholstered Back,    ,    ,TRUE
Noetic,6073NA,Armless Upholstered Back Task Basic Swivel,GUS,1041,GLS,1070,Task Seating,Armless,Swivel Base,Upholstered Back,    ,    ,TRUE
Noetic,6074,Mesh Back Weight Sensing Synchro-Tilter ,GUS,928,GLS,1090,Task Seating,With Arms,,Mesh Back,    ,Synchro-Tilter,TRUE
Noetic,6074NA,Armless Mesh Back Weight Sensing Synchro-Tilter,GUS,916,GLS,920,Task Seating,Armless,,Mesh Back,    ,Synchro-Tilter,TRUE
Noetic,6075,Upholstered Back Weight Sensing Synchro-Tilter,GUS,798,GLS,1307,Task Seating,With Arms,,Upholstered Back,    ,Synchro-Tilter,TRUE
Noetic,6075NA,Armless Upholstered Back Weight Sensing Synchro-Tilter,GUS,1096,GLS,1135,Task Seating,Armless,,Upholstered Back,    ,Synchro-Tilter,TRUE
Noetic,6076,Mesh Back Height Adjustable Stool ,GUS,984,GLS,1240,Stools,With Arms,,Mesh Back,    ,    ,TRUE
Noetic,6076NA,Armless Mesh Back Height Adjustable Stool,GUS,1041,GLS,1069,Stools,Armless,,Mesh Back,    ,    ,TRUE
Noetic,6077,Upholstered Back Height Adjustable Stool,GUS,897,GLS,1455,Stools,With Arms,,Upholstered Back,    ,    ,TRUE
Noetic,6077NA,Armless Upholstered Back Height Adjustable Stool,GUS,1221,GLS,1284,Stools,Armless,,Upholstered Back,    ,    ,TRUE
Vion,6321-0,Mesh High Back Synchro-Tilter,GUS,1078,GLS,1100,Task Seating,With Arms,,Mesh Back,High Back,Synchro-Tilter,TRUE
